id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
1,Liel Abada,ISR,Forward, ,Charlotte,22,2001,24,20,"1,637",7,1,8,2,0
2,Jose Casas de Abadal,USA,Forward,Defender,Inter Miami,23,2000,2,0,31,0,0,0,0,0
3,Luis Abram,PER,Defender,,Atlanta Utd,27,1996,19,11,"1,102",0,0,0,2,0
4,Lalas Abubakar,GHA,Defender,,Colorado Rapids,29,1994,18,15,"1,278",0,1,1,3,0
5,Kellyn Acosta,USA,Midfielder,,Chicago Fire,28,1995,34,27,"2,302",3,2,5,6,0
6,Luciano Acosta,ARG,Midfielder,,FC Cincinnati,29,1994,32,29,"2,704",14,16,30,7,0
7,Jordan Adebayo-Smith,NGA,Forward,Midfielder,Minnesota Utd,24,2000,11,1,254,0,0,0,2,0
8,Sam Adekugbe,CAN,Defender,Midfielder,Vancouver W'caps,29,1995,16,8,751,1,2,3,4,0
9,Samuel Adeniran,USA,Forward,,Philadelphia Union,25,1998,7,0,137,0,0,0,0,0
10,Samuel Adeniran,USA,Forward,Midfielder,St. Louis,25,1998,17,4,596,2,1,3,2,0
11,Leonardo Afonso,BRA,Forward,Midfielder,Inter Miami,22,2001,11,1,247,2,0,2,0,0
12,Stephen Afrifa,CAN,Forward,,Sporting KC,22,2001,24,9,795,4,2,6,0,0
13,William Agada,NGA,Forward,,Sporting KC,24,1999,32,20,"1,732",10,3,13,1,1
14,London Aghedo,USA,Defender,,FC Cincinnati,23,2000,2,0,7,0,0,0,0,0
15,Daniel Aguirre,USA,Midfielder,Forward,LA Galaxy,24,1999,10,0,107,0,0,0,0,0
16,Patrick Agyemang,USA,Forward,,Charlotte,23,2000,31,19,"1,838",10,3,13,4,1
17,Ali Ahmed,CAN,Midfielder,Defender,Vancouver W'caps,23,2000,22,15,"1,350",1,0,1,3,0
18,Forster Ajago,GHA,Forward,,Nashville SC,22,2001,12,3,379,0,0,0,2,0
19,Carlos Akapo,EQG,Defender,,SJ Earthquakes,30,1993,21,20,"1,601",0,1,1,7,0
20,Matai Akinmboni,USA,Defender,,D.C. United,17,2006,8,4,438,0,1,1,3,1
21,Ayo Akinola,CAN,Forward,Midfielder,Toronto FC,24,2000,5,0,87,0,0,0,1,0
22,Jordi Alba,ESP,Defender,,Inter Miami,34,1989,28,24,"2,234",4,10,14,8,0
23,Noah Allen,USA,Defender,,Inter Miami,19,2004,18,8,927,0,0,0,5,0
24,Rasmus Alm,SWE,Forward,Midfielder,St. Louis,28,1995,20,11,836,2,2,4,3,0
25,Thiago Almada,ARG,Midfielder,Forward,Atlanta Utd,22,2001,17,16,"1,392",6,1,7,5,0
26,Fernando Álvarez,COL,Defender,,CF Montréal,20,2003,27,24,"2,140",1,1,2,3,0
27,Pedro Amador,POR,Defender,,Atlanta Utd,25,1998,9,9,809,0,4,4,0,0
